0,1,38.43,448.33,54.86,48.75,0.69,0
1,1,37.65,446.74,56.94,50.59,0.74,0
2,1,37.25,445.69,58.23,51.72,0.74,0
3,1,37.78,445.43,58.23,51.66,0.71,0
4,1,38.44,445.24,58.48,51.88,0.61,0
6,1,40.63,443.53,61.03,54.32,0.27,0
7,1,43.01,444.13,60.33,53.98,0.40,0
8,1,44.72,444.03,60.73,54.57,0.35,0
9,1,44.90,442.36,62.49,56.41,0.53,0
10,1,45.89,442.30,61.32,55.32,0.77,0
10,4,645.22,442.54,34.75,43.16,0.54,0
11,1,50.91,441.31,61.16,55.10,0.72,0
12,1,54.68,441.33,59.34,53.33,0.70,0
12,4,653.36,444.61,33.46,41.59,0.41,0
13,1,58.05,441.82,56.49,50.51,0.68,0
13,4,657.03,446.23,31.33,38.81,0.36,0
15,1,65.74,441.79,58.33,52.06,0.48,0
15,4,660.83,446.88,31.82,39.41,0.35,0
16,1,69.70,441.58,57.63,51.37,0.68,0
16,4,663.69,445.85,31.57,38.86,0.48,0
17,1,72.01,441.04,58.66,52.24,0.80,0
17,4,665.32,444.25,32.32,39.82,0.28,0
18,1,74.15,439.79,60.48,53.99,0.78,0
19,1,77.43,439.67,58.90,52.67,0.76,0
20,1,82.34,440.48,55.14,49.14,0.74,0
21,1,86.70,440.65,54.00,48.31,0.56,0
22,1,91.89,439.76,54.06,48.59,0.68,0
22,4,680.93,440.48,32.92,40.67,0.40,0
23,1,96.24,438.34,55.25,49.84,0.85,0
23,4,684.59,440.30,32.19,39.63,0.48,0
24,1,99.54,437.41,57.10,51.80,0.83,0
25,1,105.92,438.09,53.47,48.29,0.65,0
26,1,111.53,438.70,52.03,47.07,0.47,0
26,12,697.69,483.10,28.47,35.56,0.50,0
26,4,693.92,434.98,35.66,43.93,0.43,0
27,1,118.82,438.18,51.36,46.50,0.44,0
27,12,699.82,480.61,30.96,38.61,0.31,0
27,4,698.85,435.89,35.19,43.59,0.35,0
28,1,123.40,436.24,54.14,49.16,0.73,0
28,12,703.71,479.43,31.55,39.25,0.35,0
28,4,704.61,436.55,33.82,41.62,0.52,0
29,1,127.19,435.34,55.27,50.27,0.76,0
29,12,709.05,478.66,31.55,39.20,0.63,0
29,4,707.78,434.90,34.55,42.20,0.64,0
