61,3,695.97,400.55,55.66,52.83,0.48,0
62,3,696.31,400.48,55.48,52.67,0.57,0
63,3,697.17,400.73,56.17,53.41,0.47,0
64,3,697.70,400.60,56.64,53.98,0.49,0
65,3,699.14,400.44,55.54,53.04,0.62,0
68,3,700.11,406.54,53.79,51.11,0.73,0
70,3,697.64,408.41,56.56,53.81,0.52,0
71,3,697.56,409.08,56.92,54.26,0.73,0
73,3,698.74,409.30,57.24,54.69,0.35,0
74,3,699.03,408.88,58.03,55.64,0.28,0
86,3,703.04,409.87,59.35,57.35,0.51,0
87,3,705.10,409.72,58.43,57.17,0.61,0
88,3,707.13,409.03,58.16,57.26,0.51,0
96,6,2.17,478.44,32.85,35.66,0.38,0
97,6,2.87,477.85,33.48,36.32,0.44,0
98,6,3.39,477.82,33.81,36.60,0.49,0
99,6,8.38,480.66,31.36,33.91,0.34,0
181,21,167.25,264.71,33.59,39.87,0.60,0
182,21,166.48,264.33,34.34,40.76,0.42,0
183,21,166.99,265.08,33.84,40.12,0.47,0
184,21,168.58,264.69,32.97,38.98,0.63,0
185,21,169.02,263.32,33.15,39.05,0.41,0
212,30,148.56,357.02,30.56,37.20,0.56,0
221,40,121.48,421.34,30.13,37.46,0.58,0
222,40,117.51,424.43,32.33,40.27,0.35,0
223,40,114.77,424.49,33.38,41.69,0.48,0
224,40,109.99,427.21,32.58,40.83,0.32,0
226,40,103.07,440.53,29.79,37.33,0.53,0
227,40,103.15,445.10,28.87,35.90,0.46,0
228,40,99.22,445.64,28.71,35.38,0.34,0
232,40,82.40,457.36,31.85,39.43,0.64,0
233,40,77.38,461.47,32.83,40.83,0.44,0
234,40,75.85,466.69,31.67,39.18,0.49,0
235,40,72.72,475.74,31.43,38.80,0.75,0
236,40,69.96,480.63,33.10,40.98,0.53,0
237,40,68.67,484.91,33.85,41.96,0.43,0
238,40,67.26,488.85,33.11,41.03,0.53,0
239,40,64.63,490.75,32.36,40.14,0.66,0
240,40,60.09,492.38,32.89,40.92,0.60,0
241,40,58.22,493.68,33.13,41.49,0.47,0
242,40,57.75,492.83,33.54,42.28,0.58,0
243,40,57.37,492.26,33.43,42.16,0.49,0
244,40,55.68,492.29,31.40,39.54,0.35,0
245,40,57.12,488.53,32.92,41.89,0.64,0
246,40,61.38,487.87,32.48,41.54,0.70,0
246,52,896.43,356.42,70.77,75.14,0.48,0
247,40,62.95,488.30,32.63,41.97,0.55,0
247,52,896.84,358.12,73.27,77.72,0.42,0
248,40,65.51,490.44,30.83,39.54,0.44,0
249,40,67.14,491.40,30.91,39.41,0.62,0
250,40,68.51,492.06,31.65,40.26,0.26,0
252,40,72.30,496.51,31.24,39.48,0.43,0
253,40,76.55,504.74,30.97,39.00,0.70,0
253,52,915.70,382.66,70.25,74.35,0.56,0
254,40,81.10,511.60,32.06,40.33,0.69,0
254,52,921.72,392.29,68.26,72.00,0.69,0
255,52,927.17,397.00,69.28,72.86,0.83,0
255,54,585.53,508.01,29.11,45.33,0.54,0
256,52,928.00,401.63,71.45,75.26,0.74,0
256,54,586.49,509.98,27.72,43.02,0.51,0
256,55,847.47,451.00,43.97,28.85,0.54,0
257,54,591.37,516.88,22.50,34.30,0.47,0
257,40,85.24,527.97,31.57,39.71,0.71,0
258,40,89.77,533.97,31.88,39.94,0.41,0
259,40,91.63,540.63,31.18,39.03,0.69,0
259,52,938.13,421.36,68.74,72.43,0.29,0
260,40,93.79,548.50,31.14,38.83,0.82,0
261,40,96.00,554.74,31.87,39.86,0.76,0
261,52,943.67,431.24,73.10,77.03,0.77,0
262,40,100.80,562.04,30.34,37.87,0.65,0
262,52,946.61,436.34,72.42,76.51,0.32,0
263,40,105.84,566.39,31.45,39.43,0.68,0
263,52,951.89,440.85,71.28,75.23,0.67,0
264,40,108.59,572.28,31.01,39.01,0.57,0
264,52,955.91,445.12,71.64,75.53,0.87,0
265,40,112.87,579.92,31.41,39.55,0.43,0
266,40,117.61,586.76,31.41,39.22,0.68,0
266,66,882.37,507.66,40.54,27.32,0.50,0
267,40,120.04,593.81,31.88,39.85,0.70,0
268,40,124.47,602.31,30.48,37.86,0.68,0
268,68,627.79,583.02,27.64,47.13,0.55,0
268,52,968.61,466.62,75.20,78.98,0.56,0
269,40,129.88,605.36,31.30,39.12,0.67,0
269,68,633.91,583.80,23.21,39.21,0.51,0
269,52,974.18,470.91,75.33,79.32,0.78,0
270,40,134.36,607.39,32.47,40.54,0.72,0
270,68,640.76,590.39,18.58,30.73,0.65,0
270,52,979.30,473.07,75.20,79.19,0.30,0
271,40,137.54,609.26,31.88,39.75,0.67,0
271,68,644.41,591.07,18.59,30.00,0.54,0
271,71,896.96,527.63,43.91,29.54,0.50,0
272,40,141.61,610.05,32.13,39.91,0.71,0
272,71,902.27,529.70,40.84,27.34,0.72,0
272,52,987.58,476.12,74.96,78.97,0.84,0
273,40,144.25,609.85,32.51,40.38,0.73,0
273,71,905.95,532.50,40.93,27.28,0.70,0
273,52,989.78,476.86,75.19,79.23,0.88,0
274,40,145.29,609.87,32.81,40.70,0.74,0
274,71,906.46,531.50,43.69,29.05,0.73,0
274,52,992.88,477.87,76.58,81.08,0.90,0
275,40,145.32,609.49,32.64,40.42,0.76,0
275,71,907.78,531.35,45.01,29.78,0.59,0
275,52,994.65,477.98,77.67,82.58,0.88,0
276,40,144.58,608.95,32.74,40.42,0.78,0
276,71,908.49,531.45,45.33,29.82,0.61,0
276,52,995.86,478.00,77.84,83.17,0.90,0
277,40,144.30,607.27,32.96,40.66,0.77,0
277,71,908.00,531.72,45.49,29.69,0.59,0
277,52,996.52,478.25,77.09,82.69,0.90,0
278,40,144.89,604.88,32.44,39.96,0.79,0
278,71,908.25,532.11,44.97,29.09,0.54,0
278,52,996.71,478.20,77.47,83.39,0.90,0
278,76,644.29,592.32,34.97,37.61,0.43,0
279,40,145.38,602.23,31.40,38.31,0.81,0
279,71,908.60,531.54,46.78,30.03,0.58,0
279,52,999.14,476.99,76.33,82.23,0.85,0
279,76,645.78,591.64,32.85,35.34,0.58,0
280,40,145.83,597.72,31.09,37.84,0.84,0
280,52,1000.84,475.19,76.88,82.99,0.81,0
280,76,648.10,590.52,30.45,32.72,0.44,0
281,40,143.23,592.54,31.05,37.93,0.76,0
281,76,644.84,589.54,35.75,38.73,0.40,0
282,40,138.97,586.74,32.25,39.44,0.81,0
283,40,138.23,581.13,32.69,40.10,0.67,0
283,52,1002.91,473.55,75.80,81.69,0.69,0
284,40,137.91,574.45,32.22,39.98,0.75,0
284,52,1004.40,472.75,75.35,80.97,0.82,0
285,40,134.39,571.50,31.75,39.39,0.40,0
285,52,1006.24,472.87,75.43,81.06,0.83,0
286,40,131.12,569.25,32.65,40.78,0.44,0
287,40,129.61,569.22,33.75,42.34,0.51,0
288,40,129.73,571.43,32.97,41.33,0.71,0
288,71,913.76,532.87,44.52,27.98,0.54,0
288,76,645.02,588.26,26.85,29.03,0.52,0
288,52,1006.64,478.71,74.63,80.37,0.47,0
289,40,130.70,574.05,31.80,39.78,0.66,0
289,71,916.38,532.77,43.62,27.30,0.51,0
289,76,645.07,587.75,29.44,31.88,0.38,0
290,40,130.13,575.47,32.34,40.62,0.69,0
290,71,918.67,533.13,42.91,27.01,0.53,0
290,76,644.85,588.34,29.11,31.32,0.51,0
290,52,1008.17,480.16,74.69,80.50,0.57,0
291,40,127.34,579.71,31.41,39.61,0.65,0
291,71,916.93,535.91,41.98,25.92,0.62,0
291,76,644.06,591.04,28.55,30.25,0.44,0
291,52,1008.07,480.22,75.35,81.21,0.79,0
292,40,125.62,581.90,32.04,40.82,0.63,0
292,76,643.25,593.95,28.75,30.15,0.35,0
292,52,1007.88,482.37,74.75,80.37,0.58,0
293,40,126.35,586.69,30.60,38.73,0.74,0
293,52,1007.24,483.14,74.95,80.35,0.85,0
294,40,126.94,589.31,30.56,38.61,0.76,0
294,52,1007.60,481.73,75.40,80.76,0.77,0
295,40,127.13,590.79,30.82,39.05,0.64,0
295,52,1008.68,480.87,75.85,80.75,0.79,0
295,76,637.78,597.80,41.59,44.84,0.55,0
296,40,125.91,593.27,31.17,39.57,0.68,0
296,52,1009.36,480.69,75.63,80.19,0.79,0
296,76,637.71,598.65,42.54,46.90,0.57,0
297,40,123.42,599.21,31.82,40.21,0.74,0
297,52,1008.20,484.21,77.59,82.26,0.88,0
297,76,639.96,604.78,35.23,39.03,0.57,0
297,71,911.86,544.29,48.50,29.63,0.59,0
298,40,122.91,605.17,31.76,40.08,0.70,0
298,52,1006.98,488.45,77.76,82.55,0.85,0
298,76,642.12,610.36,30.14,33.30,0.59,0
299,40,122.85,607.83,31.73,39.96,0.71,0
299,52,1005.27,489.24,78.29,83.27,0.82,0
299,76,642.08,610.42,28.77,31.73,0.70,0
299,98,642.93,639.34,24.81,27.16,0.35,0
300,40,122.38,611.32,30.78,38.36,0.68,0
300,52,1003.72,490.10,78.30,83.37,0.86,0
300,76,639.73,612.03,30.97,34.52,0.49,0
300,98,641.13,638.55,25.23,27.57,0.25,0
300,71,909.17,549.18,48.97,30.03,0.32,0
301,40,120.21,611.76,31.79,39.53,0.67,0
301,52,1002.85,490.56,78.55,83.77,0.83,0
301,76,638.98,613.11,29.79,33.06,0.65,0
301,98,640.65,640.14,24.26,26.40,0.36,0
301,71,907.38,549.92,49.34,30.49,0.33,0
302,40,118.19,612.72,32.15,40.13,0.47,0
302,52,1002.19,490.81,79.21,84.63,0.85,0
302,76,638.44,614.16,29.00,31.66,0.67,0
302,71,905.97,551.86,48.82,30.07,0.42,0
303,40,115.91,614.43,31.30,39.11,0.66,0
303,52,1002.25,491.64,78.49,83.76,0.86,0
303,76,637.71,615.36,29.02,31.17,0.59,0
303,71,904.84,552.79,50.05,31.15,0.47,0
304,40,113.55,615.64,30.98,38.77,0.59,0
304,52,1001.52,493.45,78.60,83.91,0.83,0
304,76,636.30,616.13,30.40,32.18,0.47,0
304,71,903.87,554.57,47.70,29.34,0.74,0
305,40,112.41,616.34,31.13,39.01,0.55,0
305,52,1000.88,494.51,79.41,84.87,0.80,0
305,76,636.88,617.88,29.55,30.66,0.43,0
305,71,903.32,556.64,46.58,28.20,0.64,0
306,40,110.81,616.50,31.85,39.87,0.48,0
306,52,1001.19,494.79,79.61,85.11,0.83,0
306,76,637.38,619.13,28.75,29.23,0.43,0
306,71,903.88,556.96,47.54,28.48,0.66,0
307,40,108.05,615.80,33.48,41.96,0.66,0
307,52,1001.85,494.44,79.81,85.35,0.80,0
307,76,636.49,618.63,30.31,30.38,0.36,0
307,71,904.24,556.94,48.14,28.56,0.62,0
308,40,106.48,616.28,32.86,41.08,0.53,0
308,52,1001.33,494.09,79.98,85.71,0.85,0
308,76,635.67,618.37,30.45,29.98,0.28,0
308,71,903.78,558.28,47.11,27.75,0.68,0
308,100,243.61,665.71,29.65,26.94,0.43,0
309,40,106.68,614.87,33.04,41.02,0.74,0
309,52,1000.86,492.03,80.32,86.10,0.85,0
309,71,902.03,556.53,49.17,28.96,0.68,0
