4,3,803.32,516.18,36.52,38.90,0.62,0
5,3,798.61,516.58,37.05,40.51,0.35,0
6,3,794.02,513.55,36.59,41.32,0.32,0
7,3,791.68,512.58,36.67,43.21,0.53,0
8,3,788.98,512.65,37.11,42.24,0.46,0
9,3,785.69,511.12,36.44,43.46,0.36,0
10,3,784.03,510.93,35.21,42.96,0.65,0
11,3,782.10,511.36,34.67,41.76,0.69,0
12,3,776.97,508.97,35.55,43.28,0.46,0
13,3,775.51,505.49,36.78,42.78,0.54,0
15,8,862.70,414.80,34.22,36.86,0.38,0
16,3,769.72,488.07,37.01,43.35,0.35,0
17,3,767.66,484.00,35.10,45.11,0.30,0
18,3,764.16,479.78,35.85,44.97,0.34,0
19,3,762.82,477.17,37.06,44.54,0.26,0
19,8,854.50,393.58,35.75,36.65,0.42,0
20,8,852.34,390.48,37.59,35.63,0.32,0
21,3,758.34,468.14,36.75,39.52,0.57,0
22,3,753.73,464.01,35.76,40.20,0.40,0
24,8,833.66,369.17,39.76,36.77,0.36,0
24,3,740.38,453.81,38.78,42.17,0.67,0
25,8,823.17,366.46,41.96,36.39,0.37,0
25,3,733.75,449.57,36.59,43.33,0.46,0
26,3,724.84,445.76,38.27,40.92,0.38,0
27,3,716.62,443.32,38.69,42.74,0.28,0
28,3,710.67,441.78,36.89,41.84,0.61,0
28,8,801.54,359.26,37.99,39.72,0.52,0
29,3,704.77,438.48,36.30,44.28,0.47,0
30,3,698.07,438.19,36.53,43.85,0.38,0
30,8,791.45,357.28,34.87,39.14,0.28,0
31,3,687.34,438.69,34.64,41.75,0.68,0
32,3,675.27,434.36,36.58,43.87,0.36,0
33,3,664.02,432.07,37.68,44.40,0.65,0
34,3,653.24,431.19,39.46,43.88,0.49,0
35,3,643.59,430.73,40.16,44.75,0.65,0
36,3,633.79,429.06,39.62,46.22,0.55,0
37,3,624.32,429.07,37.93,46.09,0.37,0
38,3,612.61,427.28,38.53,45.15,0.70,0
39,3,602.77,426.23,40.81,46.13,0.36,0
40,3,593.56,426.61,42.01,45.55,0.64,0
41,3,581.68,427.17,42.59,45.00,0.61,0
42,3,570.03,426.83,42.62,45.28,0.54,0
43,3,559.65,426.34,42.43,45.39,0.69,0
44,3,552.50,425.32,41.29,47.20,0.38,0
45,3,545.41,424.94,42.53,47.08,0.58,0
46,3,540.32,426.33,41.03,46.90,0.69,0
46,8,640.01,343.73,34.90,39.31,0.47,0
47,3,533.97,426.04,41.89,46.53,0.65,0
48,3,528.68,425.17,41.68,47.10,0.53,0
49,3,523.96,424.72,41.34,45.84,0.62,0
50,3,521.38,424.65,42.68,45.59,0.55,0
51,3,518.60,426.58,43.35,46.04,0.49,0
52,3,514.12,427.84,42.48,46.27,0.75,0
53,3,512.01,427.39,43.24,47.37,0.76,0
53,8,612.69,344.28,36.33,38.99,0.31,0
54,3,511.57,428.91,41.91,46.36,0.69,0
54,8,611.92,343.76,36.96,39.45,0.38,0
55,3,508.96,430.75,41.32,44.47,0.66,0
55,8,606.71,343.47,39.86,41.74,0.27,0
56,3,503.69,431.17,41.84,45.16,0.61,0
57,3,502.06,434.03,41.82,45.29,0.66,0
58,3,498.37,434.49,43.33,47.80,0.78,0
59,3,494.09,436.16,42.42,47.20,0.75,0
59,8,593.98,347.60,38.50,41.00,0.34,0
60,3,489.63,437.65,42.06,46.90,0.79,0
61,3,487.95,439.41,41.89,45.83,0.78,0
62,3,485.68,440.39,41.47,46.88,0.71,0
63,3,482.35,440.41,43.67,49.55,0.72,0
63,8,580.16,350.36,38.19,45.05,0.35,0
64,3,479.33,440.76,46.19,49.22,0.60,0
65,3,479.41,443.58,42.55,47.59,0.55,0
65,24,233.57,268.23,56.21,55.31,0.37,0
65,8,579.23,354.49,36.42,44.01,0.37,0
66,3,475.44,445.24,41.17,46.12,0.47,0
66,8,576.11,355.54,36.07,45.21,0.42,0
67,3,471.36,444.91,42.49,47.32,0.48,0
67,8,571.77,356.72,37.04,43.90,0.50,0
68,3,470.32,446.05,42.83,47.49,0.68,0
68,8,569.06,357.02,37.75,44.12,0.43,0
69,3,465.02,447.67,43.33,47.45,0.69,0
70,3,462.04,449.58,42.37,44.64,0.76,0
70,8,562.37,359.57,38.79,43.17,0.27,0
71,3,459.77,449.49,43.65,45.57,0.77,0
71,8,558.38,360.29,40.98,43.88,0.36,0
72,3,455.40,449.97,42.67,44.96,0.63,0
72,8,555.42,360.55,40.43,42.88,0.51,0
73,3,454.58,450.42,43.62,45.70,0.67,0
73,8,555.40,361.79,40.59,43.48,0.52,0
74,3,452.17,452.10,43.26,46.21,0.77,0
74,8,555.23,364.25,40.50,41.73,0.42,0
75,3,444.21,452.97,43.86,47.91,0.66,0
